Issue Id,Parent Id,Issue Type,Summary,Description,Epic Link,Labels,Priority
S01,,Story,Project governance and scope baseline,"As a project sponsor, I want scope, governance, success criteria, and delivery cadence defined so the implementation is controlled from day one.",REPLACE_WITH_EPIC_KEY,"Discovery,Governance,Phase1",High
S01-T1,S01,Sub-task,Run project kickoff with business and IT stakeholders,,,"Discovery,Governance,Phase1",Medium
S01-T2,S01,Sub-task,Define in-scope and out-of-scope modules for phase 1,,,"Discovery,Governance,Phase1",Medium
S01-T3,S01,Sub-task,"Define project objectives, KPIs, and success measures",,,"Discovery,Governance,Phase1",Medium
S01-T4,S01,Sub-task,Build stakeholder register and RACI,,,"Discovery,Governance,Phase1",Medium
S01-T5,S01,Sub-task,"Define sprint cadence, status reporting, and governance meetings",,,"Discovery,Governance,Phase1",Medium
S01-T6,S01,Sub-task,Create RAID log and change control process,,,"Discovery,Governance,Phase1",Medium
S02,,Story,Current-state CRM and process assessment,"As a solution team, we need to understand the current CRM, sales process, and pain points so the new system solves the right problems.",REPLACE_WITH_EPIC_KEY,"Discovery,Assessment,Phase1",High
S02-T1,S02,Sub-task,"Inventory current tables, forms, views, dashboards, flows, plugins, and JavaScript",,,"Discovery,Assessment,Phase1",Medium
S02-T2,S02,Sub-task,Document current inside sales and outside sales processes,,,"Discovery,Assessment,Phase1",Medium
S02-T3,S02,Sub-task,"Document current lead, opportunity, case, and contact management process",,,"Discovery,Assessment,Phase1",Medium
S02-T4,S02,Sub-task,Capture current reporting and manual workarounds,,,"Discovery,Assessment,Phase1",Medium
S02-T5,S02,Sub-task,Identify duplicate data pain points and usability issues,,,"Discovery,Assessment,Phase1",Medium
S02-T6,S02,Sub-task,Document legacy customizations that should not be carried forward,,,"Discovery,Assessment,Phase1",Medium
S03,,Story,Data source and integration assessment,"As an integration architect, I want all current source systems and interfaces documented so the new CRM integration model is complete.",REPLACE_WITH_EPIC_KEY,"Discovery,Integration-DW,Phase1",High
S03-T1,S03,Sub-task,Identify all source systems feeding the current CRM,,,"Discovery,Integration-DW,Phase1",Medium
S03-T2,S03,Sub-task,Document current Boomi integrations and data flows,,,"Discovery,Integration-DW,Phase1",Medium
S03-T3,S03,Sub-task,Inventory Data Warehouse source objects and refresh frequency,,,"Discovery,Integration-DW,Phase1",Medium
S03-T4,S03,Sub-task,Inventory Dotdigital touchpoints and synchronized data,,,"Discovery,Integration-DW,Phase1",Medium
S03-T5,S03,Sub-task,Inventory Finance and Operations invoice data needed in CRM,,,"Discovery,Integration-DW,Phase1",Medium
S03-T6,S03,Sub-task,"Document inbound, outbound, and reporting dependencies",,,"Discovery,Integration-DW,Phase1",Medium
S04,,Story,Reporting and KPI requirement discovery,"As a sales leader, I want reporting requirements documented so dashboards and analytics are built correctly in the new CRM.",REPLACE_WITH_EPIC_KEY,"Discovery,Reporting,Phase1",High
S04-T1,S04,Sub-task,"Identify KPIs for reps, territory managers, directors, and executives",,,"Discovery,Reporting,Phase1",Medium
S04-T2,S04,Sub-task,Define required sales dashboards and operational reports,,,"Discovery,Reporting,Phase1",Medium
S04-T3,S04,Sub-task,"Identify territory, pipeline, product, and case reporting needs",,,"Discovery,Reporting,Phase1",Medium
S04-T4,S04,Sub-task,Capture invoice visibility and customer financial summary needs,,,"Discovery,Reporting,Phase1",Medium
